,logBLEU v.s. Satisfaction(self),,logBLEU v.s. Record(3rd party),,Satisfaction(self) v.s. Record(3rd party),,,,,,,,,,
,,,,,,,,,,,,,,,
gs-clickedresult-df.txt.bleu,,,,,,,,,gs-clickedresult-ndf.txt.bleu,,,,,,
5,0.879382911,3.40E-10,-0.069698539,0.719396553,-0.135372216,0.483822207,,,5,0.877969876,3.95E-10,-0.086590282,0.655140737,-0.135372216,0.483822207
9,0.810467518,9.88E-08,-0.044712112,0.817854241,-0.121192127,0.531153062,,,9,0.808714698,1.11E-07,-0.046981002,0.80877624,-0.121192127,0.531153062
4,0.728778419,7.36E-06,0.193844237,0.313663884,-0.023989966,0.901691599,,,4,0.737387047,5.04E-06,0.186612193,0.332403916,-0.023989966,0.901691599
8,0.648919092,0.000140132,0.288337369,0.129299842,0.328992026,0.081398566,,,8,0.650443959,0.000133523,0.286965742,0.131213983,0.328992026,0.081398566
6,0.617775338,0.000355958,0.247611026,0.195303031,0.280597071,0.140373638,,,6,0.635615241,0.000211282,0.256153794,0.179836694,0.280597071,0.140373638
7,0.480167078,0.008384018,-0.089257881,0.645196092,-0.159418122,0.4087858,,,7,0.48035098,0.008355524,-0.096500394,0.618500603,-0.159418122,0.4087858
12,0.408183416,0.027934936,0.017066335,0.92998114,-0.033778583,0.861903851,,,12,0.445414325,0.015460372,0.003919837,0.983899408,-0.033778583,0.861903851
1,0.157231718,0.415324884,-0.140574556,0.467016637,0.319154133,0.091496513,,,1,0.157113103,0.415681294,-0.141380309,0.464441361,0.319154133,0.091496513
11,0.097642457,0.614332917,0.046679773,0.809980112,0.090182078,0.641764547,,,11,0.086916391,0.653921879,0.055649908,0.774323815,0.090182078,0.641764547
,,,,,,,,,,,,,,,
gs-useranswer-df.txt.bleu,,,,,,,,,gs-useranswer-ndf.txt.bleu,,,,,,
5,0.886069759,1.64E-10,-0.083461402,0.666878849,-0.135372216,0.483822207,,,5,0.885956832,1.66E-10,-0.091531516,0.63676703,-0.135372216,0.483822207
9,0.795418158,2.52E-07,-0.034921825,0.857276528,-0.121192127,0.531153062,,,9,0.799789523,1.94E-07,-0.043548562,0.822518724,-0.121192127,0.531153062
4,0.695803041,2.78E-05,0.22970793,0.23063969,-0.023989966,0.901691599,,,4,0.71712796,1.20E-05,0.169862312,0.378357689,-0.023989966,0.901691599
8,0.648405292,0.000142424,0.293267862,0.122587988,0.328992026,0.081398566,,,8,0.63696784,0.00020282,0.274756878,0.149172993,0.328992026,0.081398566
6,0.593460414,0.000690267,0.201582065,0.294355316,0.280597071,0.140373638,,,6,0.566995638,0.00134041,0.205720313,0.284344538,0.280597071,0.140373638
7,0.506689527,0.005032693,-0.086426941,0.655751562,-0.159418122,0.4087858,,,7,0.50360101,0.005351915,-0.081840999,0.672988433,-0.159418122,0.4087858
12,0.349208874,0.063343971,0.041401421,0.831141704,-0.033778583,0.861903851,,,12,0.326376391,0.08399595,-0.004907021,0.979845319,-0.033778583,0.861903851
